Team,Week,Term,Rank,dma_name,dma_id,score,refresh_date
Boston Celtics,2024-01-14 00:00:00,Celtics,11.0,24,2024-05-11,Baltimore MD,512
Boston Celtics,2024-01-21 00:00:00,Celtics,9.0,24,2024-05-11,Baltimore MD,512
Boston Celtics,2024-02-11 00:00:00,Celtics,10.0,24,2024-05-11,Baltimore MD,512
Boston Celtics,2024-02-18 00:00:00,Celtics,5.0,24,2024-05-11,Baltimore MD,512
Boston Celtics,2024-02-25 00:00:00,Celtics,11.0,24,2024-05-11,Baltimore MD,512
Boston Celtics,2024-03-03 00:00:00,Celtics,18.0,24,2024-05-11,Baltimore MD,512
Boston Celtics,2024-03-10 00:00:00,Celtics,16.0,24,2024-05-11,Baltimore MD,512
Boston Celtics,2024-03-24 00:00:00,Celtics,12.0,24,2024-05-11,Baltimore MD,512
Boston Celtics,2024-04-07 00:00:00,Celtics,11.0,24,2024-05-11,Baltimore MD,512
Boston Celtics,2024-05-05 00:00:00,Celtics,24.0,24,2024-05-11,Baltimore MD,512
Boston Celtics,2024-01-07 00:00:00,Celtics,12.0,24,2024-05-11,Atlanta GA,524
Boston Celtics,2024-01-14 00:00:00,Celtics,11.0,24,2024-05-11,Atlanta GA,524
Boston Celtics,2024-01-21 00:00:00,Celtics,9.0,24,2024-05-11,Atlanta GA,524
Boston Celtics,2024-02-18 00:00:00,Celtics,6.0,24,2024-05-11,Atlanta GA,524
Boston Celtics,2024-03-24 00:00:00,Celtics,18.0,24,2024-05-11,Atlanta GA,524
Boston Celtics,2024-03-31 00:00:00,Celtics,8.0,24,2024-05-11,Atlanta GA,524
Boston Celtics,2024-04-07 00:00:00,Celtics,8.0,24,2024-05-11,Atlanta GA,524
Boston Celtics,2024-04-21 00:00:00,Celtics,20.0,24,2024-05-11,Atlanta GA,524
Boston Celtics,2024-01-28 00:00:00,Celtics,nan,24,2024-05-11,Marquette MI,553
Boston Celtics,2024-02-04 00:00:00,Celtics,nan,24,2024-05-11,Marquette MI,553
Boston Celtics,2024-02-18 00:00:00,Celtics,nan,24,2024-05-11,Marquette MI,553
Boston Celtics,2024-02-25 00:00:00,Celtics,nan,24,2024-05-11,Marquette MI,553
Boston Celtics,2024-03-10 00:00:00,Celtics,nan,24,2024-05-11,Marquette MI,553
Boston Celtics,2024-03-17 00:00:00,Celtics,nan,24,2024-05-11,Marquette MI,553
Boston Celtics,2024-04-07 00:00:00,Celtics,nan,24,2024-05-11,Marquette MI,553
Boston Celtics,2024-04-21 00:00:00,Celtics,nan,24,2024-05-11,Marquette MI,553
Boston Celtics,2024-05-05 00:00:00,Celtics,20.0,24,2024-05-11,Marquette MI,553
Boston Celtics,2024-01-07 00:00:00,Celtics,10.0,24,2024-05-11,Grand Rapids-Kalamazoo-Battle Creek MI,563
Boston Celtics,2024-01-14 00:00:00,Celtics,8.0,24,2024-05-11,Grand Rapids-Kalamazoo-Battle Creek MI,563
Boston Celtics,2024-01-21 00:00:00,Celtics,9.0,24,2024-05-11,Grand Rapids-Kalamazoo-Battle Creek MI,563
Boston Celtics,2024-02-25 00:00:00,Celtics,8.0,24,2024-05-11,Grand Rapids-Kalamazoo-Battle Creek MI,563
Boston Celtics,2024-03-10 00:00:00,Celtics,8.0,24,2024-05-11,Grand Rapids-Kalamazoo-Battle Creek MI,563
Boston Celtics,2024-03-31 00:00:00,Celtics,4.0,24,2024-05-11,Grand Rapids-Kalamazoo-Battle Creek MI,563
Boston Celtics,2024-04-14 00:00:00,Celtics,4.0,24,2024-05-11,Grand Rapids-Kalamazoo-Battle Creek MI,563
Boston Celtics,2024-04-21 00:00:00,Celtics,17.0,24,2024-05-11,Grand Rapids-Kalamazoo-Battle Creek MI,563
Boston Celtics,2024-04-28 00:00:00,Celtics,18.0,24,2024-05-11,Grand Rapids-Kalamazoo-Battle Creek MI,563
Boston Celtics,2024-01-21 00:00:00,Celtics,11.0,24,2024-05-11,Wilkes Barre-Scranton PA,577
Boston Celtics,2024-01-28 00:00:00,Celtics,15.0,24,2024-05-11,Wilkes Barre-Scranton PA,577
Boston Celtics,2024-02-18 00:00:00,Celtics,8.0,24,2024-05-11,Wilkes Barre-Scranton PA,577
Boston Celtics,2024-03-03 00:00:00,Celtics,15.0,24,2024-05-11,Wilkes Barre-Scranton PA,577
Boston Celtics,2024-03-31 00:00:00,Celtics,13.0,24,2024-05-11,Wilkes Barre-Scranton PA,577
Boston Celtics,2024-04-14 00:00:00,Celtics,11.0,24,2024-05-11,Wilkes Barre-Scranton PA,577
Boston Celtics,2024-04-21 00:00:00,Celtics,29.0,24,2024-05-11,Wilkes Barre-Scranton PA,577
Boston Celtics,2024-01-14 00:00:00,Celtics,14.0,24,2024-05-11,Evansville IN,649
Boston Celtics,2024-02-11 00:00:00,Celtics,nan,24,2024-05-11,Evansville IN,649
Boston Celtics,2024-02-25 00:00:00,Celtics,nan,24,2024-05-11,Evansville IN,649
Boston Celtics,2024-03-03 00:00:00,Celtics,20.0,24,2024-05-11,Evansville IN,649
Boston Celtics,2024-03-10 00:00:00,Celtics,24.0,24,2024-05-11,Evansville IN,649
Boston Celtics,2024-03-17 00:00:00,Celtics,12.0,24,2024-05-11,Evansville IN,649
Boston Celtics,2024-03-31 00:00:00,Celtics,13.0,24,2024-05-11,Evansville IN,649
Boston Celtics,2024-04-07 00:00:00,Celtics,17.0,24,2024-05-11,Evansville IN,649
Boston Celtics,2024-04-14 00:00:00,Celtics,nan,24,2024-05-11,Evansville IN,649
Boston Celtics,2024-04-28 00:00:00,Celtics,23.0,24,2024-05-11,Evansville IN,649
Boston Celtics,2024-01-28 00:00:00,Celtics,nan,24,2024-05-11,Rapid City SD,764
Boston Celtics,2024-02-04 00:00:00,Celtics,nan,24,2024-05-11,Rapid City SD,764
Boston Celtics,2024-03-31 00:00:00,Celtics,nan,24,2024-05-11,Rapid City SD,764
Boston Celtics,2024-04-14 00:00:00,Celtics,nan,24,2024-05-11,Rapid City SD,764
Boston Celtics,2024-04-21 00:00:00,Celtics,nan,24,2024-05-11,Rapid City SD,764
Boston Celtics,2024-05-05 00:00:00,Celtics,21.0,24,2024-05-11,Rapid City SD,764
Boston Celtics,2024-01-14 00:00:00,Celtics,10.0,24,2024-05-11,Philadelphia PA,504
Boston Celtics,2024-02-11 00:00:00,Celtics,8.0,24,2024-05-11,Philadelphia PA,504
Boston Celtics,2024-03-03 00:00:00,Celtics,14.0,24,2024-05-11,Philadelphia PA,504
Boston Celtics,2024-03-10 00:00:00,Celtics,10.0,24,2024-05-11,Philadelphia PA,504
Boston Celtics,2024-03-17 00:00:00,Celtics,10.0,24,2024-05-11,Philadelphia PA,504
Boston Celtics,2024-04-07 00:00:00,Celtics,10.0,24,2024-05-11,Philadelphia PA,504
Boston Celtics,2024-04-14 00:00:00,Celtics,7.0,24,2024-05-11,Philadelphia PA,504
Boston Celtics,2024-01-14 00:00:00,Celtics,13.0,24,2024-05-11,Buffalo NY,514
Boston Celtics,2024-01-21 00:00:00,Celtics,10.0,24,2024-05-11,Buffalo NY,514
Boston Celtics,2024-02-18 00:00:00,Celtics,8.0,24,2024-05-11,Buffalo NY,514
Boston Celtics,2024-02-25 00:00:00,Celtics,12.0,24,2024-05-11,Buffalo NY,514
Boston Celtics,2024-03-03 00:00:00,Celtics,18.0,24,2024-05-11,Buffalo NY,514
Boston Celtics,2024-03-31 00:00:00,Celtics,13.0,24,2024-05-11,Buffalo NY,514
Boston Celtics,2024-04-07 00:00:00,Celtics,14.0,24,2024-05-11,Buffalo NY,514
Boston Celtics,2024-04-21 00:00:00,Celtics,27.0,24,2024-05-11,Buffalo NY,514
Boston Celtics,2024-01-07 00:00:00,Celtics,22.0,24,2024-05-11,Ft. Myers-Naples FL,571
Boston Celtics,2024-01-14 00:00:00,Celtics,15.0,24,2024-05-11,Ft. Myers-Naples FL,571
Boston Celtics,2024-02-04 00:00:00,Celtics,16.0,24,2024-05-11,Ft. Myers-Naples FL,571
Boston Celtics,2024-02-11 00:00:00,Celtics,16.0,24,2024-05-11,Ft. Myers-Naples FL,571
Boston Celtics,2024-02-18 00:00:00,Celtics,12.0,24,2024-05-11,Ft. Myers-Naples FL,571
Boston Celtics,2024-03-31 00:00:00,Celtics,16.0,24,2024-05-11,Ft. Myers-Naples FL,571
Boston Celtics,2024-04-21 00:00:00,Celtics,38.0,24,2024-05-11,Ft. Myers-Naples FL,571
Boston Celtics,2024-05-05 00:00:00,Celtics,31.0,24,2024-05-11,Ft. Myers-Naples FL,571
Boston Celtics,2024-01-14 00:00:00,Celtics,nan,24,2024-05-11,Lake Charles LA,643
Boston Celtics,2024-01-28 00:00:00,Celtics,23.0,24,2024-05-11,Lake Charles LA,643
Boston Celtics,2024-02-11 00:00:00,Celtics,nan,24,2024-05-11,Lake Charles LA,643
Boston Celtics,2024-02-18 00:00:00,Celtics,nan,24,2024-05-11,Lake Charles LA,643
Boston Celtics,2024-03-24 00:00:00,Celtics,nan,24,2024-05-11,Lake Charles LA,643
Boston Celtics,2024-04-07 00:00:00,Celtics,nan,24,2024-05-11,Lake Charles LA,643
Boston Celtics,2024-04-14 00:00:00,Celtics,nan,24,2024-05-11,Lake Charles LA,643
Boston Celtics,2024-04-21 00:00:00,Celtics,nan,24,2024-05-11,Lake Charles LA,643
Boston Celtics,2024-01-07 00:00:00,Celtics,11.0,24,2024-05-11,Las Vegas NV,839
Boston Celtics,2024-01-14 00:00:00,Celtics,10.0,24,2024-05-11,Las Vegas NV,839
Boston Celtics,2024-02-04 00:00:00,Celtics,9.0,24,2024-05-11,Las Vegas NV,839
Boston Celtics,2024-03-17 00:00:00,Celtics,12.0,24,2024-05-11,Las Vegas NV,839
Boston Celtics,2024-03-24 00:00:00,Celtics,11.0,24,2024-05-11,Las Vegas NV,839
Boston Celtics,2024-03-31 00:00:00,Celtics,8.0,24,2024-05-11,Las Vegas NV,839
Boston Celtics,2024-04-07 00:00:00,Celtics,11.0,24,2024-05-11,Las Vegas NV,839
Boston Celtics,2024-04-21 00:00:00,Celtics,20.0,24,2024-05-11,Las Vegas NV,839
Boston Celtics,2024-04-28 00:00:00,Celtics,20.0,24,2024-05-11,Las Vegas NV,839
Boston Celtics,2024-05-05 00:00:00,Celtics,20.0,24,2024-05-11,Las Vegas NV,839
Boston Celtics,2024-01-14 00:00:00,Celtics,nan,24,2024-05-11,Columbus-Tupelo-West Point MS,673
Boston Celtics,2024-01-21 00:00:00,Celtics,nan,24,2024-05-11,Columbus-Tupelo-West Point MS,673
Boston Celtics,2024-01-28 00:00:00,Celtics,nan,24,2024-05-11,Columbus-Tupelo-West Point MS,673
Boston Celtics,2024-03-10 00:00:00,Celtics,nan,24,2024-05-11,Columbus-Tupelo-West Point MS,673
Boston Celtics,2024-03-31 00:00:00,Celtics,nan,24,2024-05-11,Columbus-Tupelo-West Point MS,673
Boston Celtics,2024-04-21 00:00:00,Celtics,nan,24,2024-05-11,Columbus-Tupelo-West Point MS,673
Boston Celtics,2024-04-28 00:00:00,Celtics,15.0,24,2024-05-11,Columbus-Tupelo-West Point MS,673
Boston Celtics,2024-05-05 00:00:00,Celtics,15.0,24,2024-05-11,Columbus-Tupelo-West Point MS,673
