Team,Week,PW_win_pct,Weekly_win_pct,Cum_win_pct,Round
Minnesota Timberwolves,2024-05-05 00:00:00,nan,nan,nan,1.0
Minnesota Timberwolves,2024-05-12 00:00:00,nan,nan,nan,2.0
Minnesota Timberwolves,2024-05-19 00:00:00,nan,nan,nan,2.0
Minnesota Timberwolves,2024-05-26 00:00:00,nan,nan,nan,3.0
Minnesota Timberwolves,2024-06-02 00:00:00,nan,nan,nan,3.0
New York Knicks,2024-01-07 00:00:00,0.25,1.0,0.583,nan
New York Knicks,2024-01-14 00:00:00,1.0,0.667,0.59,nan
New York Knicks,2024-01-21 00:00:00,0.667,0.75,0.605,nan
New York Knicks,2024-01-28 00:00:00,0.75,1.0,0.63,nan
New York Knicks,2024-02-04 00:00:00,1.0,0.75,0.64,nan
New York Knicks,2024-02-11 00:00:00,0.75,0.333,0.623,nan
New York Knicks,2024-02-18 00:00:00,0.333,0.0,0.6,nan
New York Knicks,2024-02-25 00:00:00,0.0,0.5,0.596,nan
New York Knicks,2024-03-03 00:00:00,0.5,0.5,0.59,nan
New York Knicks,2024-03-10 00:00:00,0.5,0.333,0.578,nan
New York Knicks,2024-03-17 00:00:00,0.333,1.0,0.597,nan
New York Knicks,2024-03-24 00:00:00,1.0,0.667,0.6,nan
New York Knicks,2024-03-31 00:00:00,0.667,0.5,0.595,nan
New York Knicks,2024-04-07 00:00:00,0.5,0.5,0.59,nan
New York Knicks,2024-04-14 00:00:00,0.5,1.0,0.61,nan
New York Knicks,2024-04-21 00:00:00,nan,nan,nan,1.0
New York Knicks,2024-04-28 00:00:00,nan,nan,nan,1.0
New York Knicks,2024-05-05 00:00:00,nan,nan,nan,1.0
New York Knicks,2024-05-12 00:00:00,nan,nan,nan,2.0
New York Knicks,2024-05-19 00:00:00,nan,nan,nan,2.0
