G,TEAM,Date,Start (ET),,,,Opponent,game_result,,Tm,Opp,W,L,Streak,Notes
50,Boston Celtics,"Sun, Feb 4, 2024",6:00p,,Box Score,,Memphis Grizzlies,W,,131,91,38,12,W 1,
51,Boston Celtics,"Wed, Feb 7, 2024",7:30p,,Box Score,,Atlanta Hawks,W,,125,117,39,12,W 2,
52,Boston Celtics,"Fri, Feb 9, 2024",7:30p,,Box Score,,Washington Wizards,W,,133,129,40,12,W 3,
53,Boston Celtics,"Sun, Feb 11, 2024",2:00p,,Box Score,@,Miami Heat,W,,110,106,41,12,W 4,
54,Boston Celtics,"Tue, Feb 13, 2024",7:30p,,Box Score,@,Brooklyn Nets,W,,118,110,42,12,W 5,
55,Boston Celtics,"Wed, Feb 14, 2024",7:30p,,Box Score,,Brooklyn Nets,W,,136,86,43,12,W 6,
56,Boston Celtics,"Thu, Feb 22, 2024",8:00p,,Box Score,@,Chicago Bulls,W,,129,112,44,12,W 7,
57,Boston Celtics,"Sat, Feb 24, 2024",8:30p,,Box Score,@,New York Knicks,W,,116,102,45,12,W 8,
58,Boston Celtics,"Tue, Feb 27, 2024",7:30p,,Box Score,,Philadelphia 76ers,W,,117,99,46,12,W 9,
59,Boston Celtics,"Fri, Mar 1, 2024",7:30p,,Box Score,,Dallas Mavericks,W,,138,110,47,12,W 10,
60,Boston Celtics,"Sun, Mar 3, 2024",3:30p,,Box Score,,Golden State Warriors,W,,140,88,48,12,W 11,
61,Boston Celtics,"Tue, Mar 5, 2024",7:30p,,Box Score,@,Cleveland Cavaliers,L,,104,105,48,13,L 1,
62,Boston Celtics,"Thu, Mar 7, 2024",10:00p,,Box Score,@,Denver Nuggets,L,,109,115,48,14,L 2,
63,Boston Celtics,"Sat, Mar 9, 2024",8:30p,,Box Score,@,Phoenix Suns,W,,117,107,49,14,W 1,
64,Boston Celtics,"Mon, Mar 11, 2024",10:30p,,Box Score,@,Portland Trail Blazers,W,,121,99,50,14,W 2,
