Date,Start (ET),Visitor/Neutral,PTS,Home/Neutral,PTS,,,Attend.,Arena,Notes
Fri May 10 2024,9:30p,Denver Nuggets,117,Minnesota Timberwolves,90,Box Score,,19733,Target Center,2
Sat May 11 2024,3:30p,Oklahoma City Thunder,101,Dallas Mavericks,105,Box Score,,20325,American Airlines Center,2
Sat May 11 2024,8:30p,Boston Celtics,106,Cleveland Cavaliers,93,Box Score,,19432,Rocket Mortgage Fieldhouse,2
Sun May 12 2024,3:30p,New York Knicks,89,Indiana Pacers,121,Box Score,,17274,Gainbridge Fieldhouse,2
Sun May 12 2024,8:00p,Denver Nuggets,115,Minnesota Timberwolves,107,Box Score,,19583,Target Center,2
Mon May 13 2024,7:00p,Boston Celtics,109,Cleveland Cavaliers,102,Box Score,,19432,Rocket Mortgage Fieldhouse,2
Mon May 13 2024,9:30p,Oklahoma City Thunder,100,Dallas Mavericks,96,Box Score,,20607,American Airlines Center,2
Tue May 14 2024,8:00p,Indiana Pacers,91,New York Knicks,121,Box Score,,19812,Madison Square Garden (IV),2
Tue May 14 2024,10:30p,Minnesota Timberwolves,97,Denver Nuggets,112,Box Score,,19992,Ball Arena,2
Wed May 15 2024,7:00p,Cleveland Cavaliers,98,Boston Celtics,113,Box Score,,19156,TD Garden,2
Wed May 15 2024,9:30p,Dallas Mavericks,104,Oklahoma City Thunder,92,Box Score,,18203,Paycom Center,2
Thu May 16 2024,8:30p,Denver Nuggets,70,Minnesota Timberwolves,115,Box Score,,19187,Target Center,2
Fri May 17 2024,8:30p,New York Knicks,103,Indiana Pacers,116,Box Score,,17274,Gainbridge Fieldhouse,2
Sat May 18 2024,8:00p,Oklahoma City Thunder,116,Dallas Mavericks,117,Box Score,,20555,American Airlines Center,2
Sun May 19 2024,3:30p,Indiana Pacers,130,New York Knicks,109,Box Score,,19812,Madison Square Garden (IV),2
Sun May 19 2024,8:00p,Minnesota Timberwolves,98,Denver Nuggets,90,Box Score,,20022,Ball Arena,2
Tue May 21 2024,8:00p,Indiana Pacers,128,Boston Celtics,133,Box Score,OT,19156,TD Garden,3
Wed May 22 2024,8:30p,Dallas Mavericks,108,Minnesota Timberwolves,105,Box Score,,19433,Target Center,3
Thu May 23 2024,8:00p,Indiana Pacers,110,Boston Celtics,126,Box Score,,19156,TD Garden,3
Fri May 24 2024,8:30p,Dallas Mavericks,109,Minnesota Timberwolves,108,Box Score,,19636,Target Center,3
Sat May 25 2024,8:30p,Boston Celtics,114,Indiana Pacers,111,Box Score,,17274,Gainbridge Fieldhouse,3
Sun May 26 2024,8:00p,Minnesota Timberwolves,107,Dallas Mavericks,116,Box Score,,20511,American Airlines Center,3
Mon May 27 2024,8:00p,Boston Celtics,105,Indiana Pacers,102,Box Score,,17274,Gainbridge Fieldhouse,3
Tue May 28 2024,8:30p,Minnesota Timberwolves,105,Dallas Mavericks,100,Box Score,,20477,American Airlines Center,3
Thu May 30 2024,8:30p,Dallas Mavericks,124,Minnesota Timberwolves,103,Box Score,,19333,Target Center,3
Thu Jun 6 2024,8:30p,Dallas Mavericks,89,Boston Celtics,107,Box Score,,19156,TD Garden,4
Sun Jun 9 2024,8:00p,Dallas Mavericks,98,Boston Celtics,105,Box Score,,19156,TD Garden,4
Wed Jun 12 2024,8:30p,Boston Celtics,106,Dallas Mavericks,99,Box Score,,20311,American Airlines Center,4
Fri Jun 14 2024,8:30p,Boston Celtics,,Dallas Mavericks,,,,,American Airlines Center,
